"Reference","Value","Datasheet","Footprint","Qty","DNP","Digikey Partnumber"
"C1","10F","https://abracon.com/datasheets/ADCM-S05R5S.pdf","cubesat:cubesat_cap","1","","535-ADCM-S05R5SA106RB-ND"
"C2","0.1uF","https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC.pdf","Capacitor_SMD:C_1206_3216Metric","1","","1276-1017-1-ND"
"C3","1uF","https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC.pdf","Capacitor_SMD:C_1206_3216Metric","1","","1276-1097-1-ND"
"C4","0.01uF","https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC.pdf","Capacitor_SMD:C_1206_3216Metric","1","","1276-1083-1-ND"
"D1","LED","https://www.we-online.com/components/products/datasheet/151051RS11000.pdf","LED_THT:LED_D5.0mm","1","","732-5016-ND"
"D2,D3","1N4148","https://www.onsemi.com/download/data-sheet/pdf/1n914-d.pdf","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","2","","1N4148FS-ND"
"D4","5V5","https://www.diodes.com/assets/Datasheets/ds31987.pdf","Diode_SMD:D_SOD-323_HandSoldering","1","","DDZ5V6ASF-7DICT-ND"
"R1","3M","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","Resistor_SMD:R_1206_3216Metric","1","","311-3.00MFRCT-ND"
"R2","560","https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","Resistor_SMD:R_1206_3216Metric","1","","311-560FRCT-ND"
"R3","56k","https://www.koaspeer.com/pdfs/RK73H.pdf","Resistor_SMD:R_1206_3216Metric","1","","311-56.0KFRCT-ND"
"SC1,SC2","SM141K04TFV","https://waf-e.dubuplus.com/anysolar.dubuplus.com/techsupport@anysolar.biz/O18BEsz/DubuDisk/www/Gen3/SM141K04TFV%20DATA%20SHEET%20202105.pdf","cubesat:SolarCellCubeSat","2","","2994-SM141K04TFV-ND"
"U1","LMC555xM","http://www.ti.com/lit/ds/symlink/lmc555.pdf","Package_SO:Texas_S-PDSO-G8_3x3mm_P0.65mm","1","","LMC555CMMX/NOPBCT-ND"
